index_id	category	text
854	travel	MetroPlus በጣም ምቾት ያለውና በብዛት ያልተጨናነቀ ሆኖ ግን በትንሹ ውድ የሆነ ሲሆን ከሌሎች የተለመዱ የሜትሮ ቲኬቶች ጋር ሲነፃፀር ደግሞ ረከስ ይላል።
833	travel	ይህ በአከባቢው ፖሊስ ጣቢያ ቅጽ መሙላት ወይም የኢሚግሬሽን ቢሮ መጎብኘት ሊያስፈልገው ይችላል።
1604	travel	ሰዎች በየቀኑ ጠዋት ላይ ከትናንሽ የገጠር ከተሞች በመኪና ወደ ሥራ ቦታቸው ይሄዳሉ እና ሌሎች የሥራ መድረሻቸው ጥለውት የሔዱት ቦታ በሆነ ሰዎች ይታለፋሉ።
1826	travel	በክፍለሀገር መንገዶች ላይ ለማሽከርከር ካለመዱ ያለዎትን ጠንቃቃነት ይጠብቁ፡ ዳገታማ ቦታዎች ፣ ጠባብ መንገዶች እና የሾሉ ኩርባዎች በአብዛኛው አሉ።
1559	travel	የመጀመሪያው የታወቀ መጓጓዣ በእግር መጓዝ ነበር ፣ ሰዎች ከሁለት ሚሊዮን ዓመታት በፊት በሆሞ ኢሬክተስ (ቀጥ ያለ ሰው ማለት) ብቅ ከማለቱ ጋር ታያይዞ፣ በእግር መጓዝ ጀመሩ።
1880	travel	በውጭ አገር የ ፆታ ማስተላለፍ የቀዶ ጥገና ዕቅድ ያወጣ አውሮፕላን ማረፊያ ለሚመጡት ጉዞ ትክክለኛ ሰነዶች ይዘው መሄዳቸውን ማረጋገጥ አለባቸው።
835	travel	በሌሎች ጊዜዎች፣ ከቱሪስት መስተንግዶዎች ውጪ የሚቆዩ ብቻ መመዝገብ አለባቸው። ነገር ግን፣ ይህ ህጉን በጣም ለመረዳት አስቸጋሪ ያደርገዋል፣ ስለዚህ ቀድመው ይወቁ።
866	travel	በታዳጊ ሀገሮች ውስጥ ለመጀመሪያ ጊዜ የሚጓዙ ከሆነ - ወይም በአዲስ የዓለም ክፍል ውስጥ ካሉ - የባህሉ አስደንጋጭነትን አያቅልሉ።
1700	travel	ሴቶች፡ የትኛውም የሴቶች ተጓዦች ትክክለኛ የጋብቻ ሁኔታ ምንም ይሁን ምን ማግባታቸውን ቢናገሩ ይመከራል።
887	travel	የጎብኚዎች ጉብኝት ብዙ ገንዘብ የሚጠይቅ፣ የአካል ብቃት የሚያስፈልገው፣ በበጋ ከኖቬምበር - ፌብራሪ ብቻ ሊካሄድ የሚችል እና በአብዛኛው ከፔኒንሱላ፣ ከደሴቶች እና ከሮስ ባህር የማይወጣ ነው።
